,store_id,attribute_id,attribute_type,attribute_int_val,attribute_str_val,attribute_float_val
9841,674,9,string,,AZ,
10042,600,9,string,,AZ,
10122,498,9,string,,AZ,
10526,494,9,string,,AZ,
10246,411,9,string,,AZ,
9461,412,9,string,,AZ,
9078,532,9,string,,AZ,
10142,386,9,string,,AZ,
10445,650,9,string,,AZ,
9756,591,9,string,,AZ,
9124,352,9,string,,AZ,
10192,376,9,string,,CO,
10112,434,9,string,,CO,
10177,398,9,string,,CO,
10601,671,9,string,,CO,
10237,440,9,string,,CO,
9921,630,9,string,,CO,
10253,629,9,string,,CO,
10465,441,9,string,,CO,
10419,520,9,string,,CO,
10241,531,9,string,,CO,
9826,497,9,string,,ID,
9094,453,9,string,,ID,
8962,602,9,string,,ID,
10227,508,9,string,,ID,
9831,439,9,string,,ID,
9476,395,9,string,,ID,
9198,614,9,string,,ID,
10460,437,9,string,,ID,
9005,635,9,string,,ID,
10117,662,9,string,,ID,
9721,391,9,string,,ID,
10343,675,9,string,,ID,
9212,670,9,string,,ID,
9000,393,9,string,,ID,
9866,584,9,string,,ID,
9154,667,9,string,,ID,
8990,405,9,string,,ID,
10394,378,9,string,,ID,
9791,590,9,string,,ID,
9188,608,9,string,,ID,
9985,501,9,string,,ID,
9119,369,9,string,,ID,
8923,526,9,string,,ID,
9274,654,9,string,,ID,
10217,631,9,string,,ID,
8919,390,9,string,,ID,
9010,443,9,string,,ID,
8958,563,9,string,,ID,
9426,408,9,string,,ID,
9030,552,9,string,,ID,
10565,575,9,string,,ID,
10531,490,9,string,,ID,
9359,385,9,string,,ID,
8966,375,9,string,,ID,
10258,660,9,string,,NE,
10027,533,9,string,,NE,
10551,574,9,string,,NV,
9342,409,9,string,,NV,
9896,449,9,string,,NV,
9970,367,9,string,,NV,
9203,364,9,string,,NV,
10067,651,9,string,,NV,
10516,361,9,string,,NV,
10298,509,9,string,,NV,
10017,554,9,string,,NV,
9606,481,9,string,,NV,
10167,459,9,string,,NV,
10377,476,9,string,,NV,
9916,621,9,string,,NV,
10561,544,9,string,,SD,
9761,546,9,string,,UT,
9149,672,9,string,,UT,
9726,585,9,string,,UT,
9786,542,9,string,,UT,
10288,463,9,string,,UT,
9264,553,9,string,,UT,
9288,396,9,string,,UT,
9681,482,9,string,,UT,
9058,387,9,string,,UT,
10328,415,9,string,,UT,
9317,450,9,string,,UT,
10303,537,9,string,,UT,
10521,611,9,string,,UT,
9269,343,9,string,,UT,
10062,609,9,string,,UT,
9496,586,9,string,,UT,
9541,470,9,string,,UT,
10007,451,9,string,,UT,
9741,406,9,string,,UT,
9466,424,9,string,,UT,
9021,581,9,string,,UT,
9349,495,9,string,,UT,
9481,632,9,string,,UT,
9388,362,9,string,,UT,
9651,605,9,string,,UT,
9383,430,9,string,,UT,
9751,564,9,string,,UT,
9776,454,9,string,,UT,
9641,502,9,string,,UT,
9249,616,9,string,,UT,
9526,517,9,string,,UT,
10494,472,9,string,,UT,
9173,493,9,string,,UT,
9891,653,9,string,,UT,
9307,425,9,string,,UT,
9327,438,9,string,,UT,
9168,373,9,string,,UT,
9796,529,9,string,,UT,
9506,421,9,string,,UT,
10362,619,9,string,,UT,
10187,524,9,string,,UT,
9322,359,9,string,,UT,
9716,371,9,string,,UT,
9911,374,9,string,,UT,
9636,464,9,string,,UT,
10107,578,9,string,,UT,
9073,551,9,string,,UT,
9997,639,9,string,,UT,
9576,534,9,string,,UT,
10409,522,9,string,,UT,
9546,538,9,string,,UT,
10323,668,9,string,,UT,
9516,346,9,string,,UT,
9691,370,9,string,,UT,
9446,402,9,string,,UT,
10570,561,9,string,,UT,
9436,446,9,string,,UT,
10605,648,9,string,,UT,
9591,504,9,string,,UT,
9521,577,9,string,,UT,
10278,377,9,string,,UT,
10102,505,9,string,,UT,
9561,456,9,string,,UT,
10367,576,9,string,,UT,
10399,471,9,string,,UT,
10404,663,9,string,,UT,
9816,634,9,string,,UT,
10592,638,9,string,,UT,
9731,460,9,string,,UT,
9566,403,9,string,,UT,
10450,448,9,string,,UT,
9836,442,9,string,,UT,
8953,647,9,string,,UT,
9701,669,9,string,,UT,
10389,429,9,string,,UT,
10546,607,9,string,,WA,
10147,368,9,string,,WA,
9975,582,9,string,,WA,
10556,612,9,string,,WA,
10127,433,9,string,,WA,
10072,356,9,string,,WA,
9416,469,9,string,,WY,
9402,507,9,string,,WY,
9144,380,9,string,,WY,
8976,549,9,string,,WY,
9089,580,9,string,,WY,
9621,419,9,string,,WY,
8971,618,9,string,,WY,
10577,486,9,string,,WY,
9626,382,9,string,,WY,
10087,604,9,string,,WY,
9456,658,9,string,,WY,
8980,457,9,string,,WY,
9034,422,9,string,,WY,
9666,465,9,string,,WY,
8947,344,9,string,,WY,
9946,571,9,string,,WY,
9471,458,9,string,,WY,
